country,country_code,2012,2013,2014,2015,2016,2017
Djibouti,DJI,99.31166666666668,102.0825,104.173,99.85083333333331,98.99916666666667,114.57
Dominican Republic,DOM,49.43,48.097142857142856,51.51666666666667,68.7875,53.68125,56.84
Ecuador,ECU,78.27428571428572,90.53285714285714,89.69166666666666,96.07000000000002,95.37142857142858,48.63
Equatorial Guinea,GNQ,138.49666666666667,133.77833333333334,116.376,139.36916666666667,137.20416666666665,154.53
Eritrea,ERI,97.70999999999998,96.02249999999998,95.97000000000001,96.60416666666664,96.27500000000002,108.445
Estonia,EST,95.80833333333332,90.42416666666666,88.39,92.6075,90.94749999999999,97.55000000000001
Ethiopia,ETH,98.84500000000001,97.43333333333334,96.102,97.02333333333333,96.83166666666665,108.84
Faroe Islands,FRO,57.6775,58.661666666666655,57.99300000000001,64.5675,55.905833333333334,54.92
Finland,FIN,96.6775,91.96499999999999,91.054,93.40166666666666,92.445,97.16
France,FRA,80.28833333333334,76.95583333333333,78.14,80.72916666666667,79.00416666666666,81.535
Gabon,GAB,106.30749999999999,106.45083333333332,98.522,101.21916666666665,113.67250000000001,133.97
Georgia,GEO,107.31583333333333,109.985,107.94800000000001,108.32083333333333,107.52749999999999,154.835
Germany,DEU,81.41083333333334,78.44250000000001,79.80199999999999,81.1025,79.10000000000001,87.205
Ghana,GHA,147.2325,146.53583333333336,151.254,145.69583333333333,160.3083333333333,211.51
Greece,GRC,89.50333333333333,85.93333333333334,83.78999999999999,87.07583333333334,85.69666666666666,94.66499999999999
Greenland,GRL,73.07166666666666,70.42666666666666,71.18499999999999,70.43916666666667,68.24833333333335,53.224999999999994
Guinea,GIN,122.96416666666666,126.10166666666667,108.43299999999999,123.5675,124.96833333333332,103.535
Guyana,GUY,138.52666666666667,128.27100000000002,159.0275,168.67727272727274,139.73545454545453,46.01
Haiti,HTI,70.94142857142857,63.81285714285714,66.99833333333333,71.88571428571429,63.58571428571429,65.67
Honduras,HND,68.3425,159.254,84.14,171.29,114.606,86.27000000000001
Hungary,HUN,107.8875,101.68083333333334,100.279,102.31750000000001,99.44916666666666,104.39
Iceland,ISL,64.48,62.19416666666667,62.484000000000016,64.87333333333333,60.79083333333333,50.03
India,IND,164.24666666666667,144.80555555555554,174.50625000000002,154.57333333333332,161.39333333333332,299.61
Iraq,IRQ,105.1275,104.61166666666666,101.375,103.63749999999999,102.73416666666667,120.91499999999999
Ireland,IRL,60.820000000000014,57.87666666666669,60.83299999999999,62.43416666666667,60.86666666666667,57.370000000000005
Israel,ISR,98.35083333333331,94.69833333333332,92.614,92.28583333333334,94.2666666666667,107.25999999999999
Italy,ITA,87.53833333333334,84.42916666666666,84.843,87.5775,85.21583333333335,95.53
Jamaica,JAM,,,,,,300.0
Jordan,JOR,101.57833333333333,101.22916666666667,97.00200000000001,98.75166666666667,100.51499999999999,114.01499999999999
Kazakhstan,KAZ,131.42249999999999,131.1275,130.72,131.96583333333334,129.55916666666667,138.185
Kenya,KEN,96.97416666666668,95.01833333333333,93.187,93.50666666666667,94.72916666666667,104.0
Kosovo,XKX,100.41000000000001,94.45583333333333,90.749,94.11083333333333,91.66666666666667,101.965
Kuwait,KWT,116.38,104.34333333333332,108.56400000000001,109.12083333333332,110.96999999999998,158.855
Latvia,LVA,95.20166666666667,90.08083333333333,88.451,92.94583333333333,90.6225,98.03
Lebanon,LBN,101.63999999999999,97.37583333333333,94.37,94.12750000000001,96.16000000000001,110.63
Lesotho,LSO,83.63666666666666,81.88166666666667,82.30199999999999,81.11999999999999,83.30916666666667,91.19
Liberia,LBR,124.56916666666667,128.08083333333335,107.223,129.4333333333333,124.65250000000002,122.3
Libya,LBY,101.9975,98.48416666666668,98.313,98.67333333333333,97.95916666666666,112.26
